home,win,score,participates,isParticipatedBy
1,1,96,366,18
1,1,86,367,20
1,1,119,368,25
1,1,105,369,2
1,1,88,370,6
1,1,102,371,25
1,1,94,372,4
1,1,88,373,6
1,1,83,374,19
1,1,125,375,3
1,1,87,376,30
1,1,103,377,5
1,1,112,378,30
1,1,101,379,18
1,1,126,380,11
1,1,126,381,14
1,1,101,382,11
1,1,128,383,26
1,1,88,384,18
1,1,120,385,10
1,1,122,386,27
1,1,127,387,21
1,1,112,388,1
1,1,83,389,20
1,1,117,390,20
1,1,85,391,25
1,1,100,392,8
1,1,127,393,29
1,1,101,394,16
1,1,106,395,21
1,1,101,396,9
1,1,129,397,18
1,1,124,398,24
1,1,91,399,2
1,1,118,400,30
1,1,85,401,30
1,1,127,402,29
1,1,121,403,16
1,1,96,404,9
1,1,101,405,29
1,1,117,406,19
1,1,96,407,24
1,1,118,408,11
1,1,80,409,23
1,1,123,410,22
1,1,128,411,14
1,1,89,412,14
1,1,102,413,3
1,1,106,414,19
1,1,96,415,23
1,1,88,416,5
1,1,97,417,16
1,1,81,418,19
1,1,110,419,1
1,1,122,420,21
1,1,87,421,13
1,1,87,422,13
1,1,101,423,24
1,1,127,424,27
1,1,113,425,18
1,1,89,426,16
1,1,104,427,10
1,1,109,428,20
1,1,126,429,27
1,1,97,430,14
1,1,82,431,1
1,1,85,432,22
1,1,119,433,4
1,1,115,434,2
1,1,83,435,8
1,1,105,436,13
1,1,129,437,6
1,1,114,438,21
1,1,110,439,4
1,1,121,440,5
1,1,116,441,20
1,1,106,442,11
1,1,82,443,18
1,1,83,444,17
1,1,81,445,21
1,1,117,446,22
1,1,94,447,2
1,1,94,448,6
1,1,92,449,7
1,1,85,450,4
1,1,129,451,17
1,1,116,452,27
1,1,102,453,23
1,1,88,454,21
1,1,93,455,21
1,1,116,456,18
1,1,97,457,5
1,1,92,458,21
1,1,93,459,10
1,1,119,460,12
1,1,116,461,14
1,1,103,462,20
1,1,100,463,25
1,1,111,464,23
1,1,108,465,24
1,1,99,466,23
1,1,101,467,8
1,1,97,468,23
1,1,120,469,29
1,1,112,470,4
1,1,96,471,6
1,1,112,472,6
1,1,120,473,28
1,1,100,474,23
1,1,129,475,4
1,1,99,476,13
1,1,130,477,26
1,1,126,478,8
1,1,121,479,12
1,1,88,480,26
1,1,102,481,8
1,1,116,482,6
1,1,104,483,20
1,1,115,484,6
1,1,86,485,29
1,1,88,486,24
1,1,115,487,16
1,1,130,488,29
1,1,93,489,9
1,1,130,490,2
1,1,108,491,14
1,1,122,492,16
1,1,128,493,13
1,1,84,494,25
1,1,128,495,7
1,1,115,496,23
1,1,106,497,23
1,1,112,498,13
1,1,103,499,3
1,1,98,500,2
1,1,80,501,12
1,1,93,502,17
1,1,92,503,11
1,1,102,504,22
1,1,121,505,13
1,1,104,506,4
1,1,126,507,20
1,1,85,508,16
1,1,130,509,19
1,1,83,510,19
1,1,84,511,17
1,1,103,512,11
1,1,84,513,30
1,1,92,514,3
1,1,113,515,2
1,1,85,516,16
1,1,127,517,10
1,1,120,518,20
1,1,107,519,5
1,1,116,520,21
1,1,86,521,23
1,1,99,522,11
1,1,125,523,10
1,1,120,524,14
1,1,88,525,5
1,1,102,526,29
1,1,83,527,24
1,1,99,528,5
1,1,125,529,30
1,1,92,530,6
1,1,123,531,20
1,1,83,532,14
1,1,118,533,5
1,1,98,534,21
1,1,127,535,12
1,1,94,536,30
1,1,98,537,23
1,1,115,538,7
1,1,112,539,7
1,1,125,540,9
1,1,127,541,13
1,1,100,542,24
1,1,114,543,14
1,1,127,544,8
1,1,117,545,1
1,1,116,546,5
1,1,119,547,26
1,1,91,548,14
1,1,96,549,15
1,1,82,550,29
1,1,95,551,16
1,1,106,552,18
1,1,121,553,14
1,1,98,554,22
1,1,111,555,18
1,1,128,556,5
1,1,122,557,8
1,1,105,558,24
1,1,113,559,23
1,1,91,560,28
1,1,97,561,16
1,1,95,562,20
1,1,106,563,17
1,1,109,564,18
1,1,85,565,26
1,1,130,566,9
1,1,99,567,6
1,1,118,568,30
1,1,98,569,8
1,1,86,570,25
1,1,101,571,12
1,1,109,572,4
1,1,88,573,28
1,1,123,574,25
1,1,97,575,18
1,1,125,576,1
1,1,110,577,23
1,1,110,578,18
1,1,86,579,13
1,1,103,580,8
1,1,106,581,8
1,1,107,582,10
1,1,99,583,3
1,1,105,584,25
1,1,126,585,12
1,1,106,586,16
1,1,113,587,16
1,1,117,588,23
1,1,117,589,28
1,1,81,590,11
1,1,125,591,15
1,1,117,592,20
1,1,116,593,29
1,1,109,594,16
1,1,91,595,21
1,1,91,596,30
1,1,94,597,15
1,1,95,598,10
1,1,96,599,16
1,1,130,600,11
1,1,129,601,7
1,1,102,602,21
1,1,90,603,28
1,1,125,604,30
1,1,87,605,24
1,1,126,606,2
1,1,108,607,26
1,1,89,608,16
1,1,105,609,26
1,1,122,610,2
1,1,99,611,18
1,1,130,612,9
1,1,113,613,13
1,1,100,614,29
1,1,117,615,23
1,1,100,616,13
1,1,108,617,8
1,1,101,618,17
1,1,83,619,6
1,1,91,620,19
1,1,90,621,17
1,1,103,622,1
1,1,116,623,12
1,1,97,624,9
1,1,93,625,19
1,1,130,626,6
1,1,104,627,7
1,1,103,628,28
1,1,128,629,9
1,1,127,630,30
1,1,80,631,5
1,1,106,632,22
1,1,92,633,12
1,1,96,634,27
1,1,120,635,27
1,1,92,636,22
1,1,119,637,13
1,1,84,638,1
1,1,114,639,4
1,1,81,640,17
1,1,114,641,24
1,1,120,642,26
1,1,115,643,9
1,1,125,644,25
1,1,82,645,2
1,1,83,646,29
1,1,82,647,14
1,1,125,648,25
1,1,108,649,25
1,1,94,650,22
1,1,101,651,24
1,1,126,652,3
1,1,127,653,17
1,1,127,654,29
1,1,81,655,14
1,1,115,656,25
1,1,112,657,19
1,1,130,658,24
1,1,109,659,9
1,1,87,660,6
1,1,104,661,21
1,1,104,662,15
1,1,101,663,13
1,1,130,664,28
1,1,125,665,19
1,1,106,666,19
1,1,108,667,20
1,1,109,668,26
1,1,114,669,30
1,1,96,670,6
1,1,103,671,28
1,1,91,672,27
1,1,80,673,19
1,1,124,674,13
1,1,84,675,9
1,1,90,676,22
1,1,129,677,27
1,1,114,678,28
1,1,120,679,18
1,1,110,680,7
1,1,113,681,29
1,1,129,682,18
1,1,83,683,2
1,1,82,684,8
1,1,127,685,3
1,1,130,686,28
1,1,121,687,1
1,1,98,688,6
1,1,121,689,30
1,1,96,690,27
1,1,109,691,22
1,1,110,692,18
1,1,120,693,12
1,1,112,694,18
1,1,89,695,11
1,1,103,696,21
1,1,88,697,3
1,1,107,698,25
1,1,126,699,12
1,1,80,700,8
1,1,85,701,19
1,1,80,702,6
1,1,89,703,14
1,1,110,704,28
1,1,85,705,17
1,1,111,706,18
1,1,112,707,27
1,1,90,708,26
1,1,80,709,6
1,1,124,710,24
1,1,109,711,5
1,1,88,712,21
1,1,89,713,16
1,1,82,714,23
1,1,90,715,6
1,1,94,716,16
1,1,113,717,25
1,1,129,718,9
1,1,124,719,12
1,1,101,720,26
1,1,114,721,24
1,1,94,722,12
1,1,101,723,14
1,1,87,724,2
1,1,115,725,9
1,1,103,726,12
1,1,90,727,15
1,1,81,728,17
1,1,96,729,29
1,1,95,730,10
1,1,122,731,13
1,1,106,732,15
1,1,124,733,24
1,1,87,734,16
1,1,83,735,26
1,1,103,736,8
1,1,85,737,27
1,1,100,738,29
1,1,83,739,16
1,1,124,740,18
1,1,112,741,20
1,1,120,742,25
1,1,88,743,3
1,1,108,744,1
1,1,130,745,21
1,1,89,746,19
1,1,94,747,14
1,1,89,748,18
1,1,101,749,14
1,1,81,750,30
1,1,130,751,10
1,1,88,752,14
1,1,110,753,13
1,1,99,754,8
1,1,89,755,27
1,1,91,756,13
1,1,118,757,24
1,1,128,758,18
1,1,126,759,28
1,1,121,760,4
1,1,86,761,25
1,1,85,762,13
1,1,84,763,29
1,1,123,764,27
1,1,88,765,20
1,1,89,766,28
1,1,84,767,16
1,1,113,768,29
1,1,122,769,7
1,1,81,770,30
1,1,81,771,14
1,1,127,772,19
1,1,83,773,18
1,1,109,774,8
1,1,121,775,29
1,1,101,776,25
1,1,118,777,23
1,1,91,778,7
1,1,81,779,29
1,1,119,780,10
1,1,121,781,26
1,1,95,782,9
1,1,97,783,11
1,1,102,784,4
1,1,108,785,7
1,1,112,786,20
1,1,95,787,17
1,1,81,788,26
1,1,91,789,27
1,1,122,790,27
1,1,126,791,30
1,1,85,792,25
1,1,83,793,15
1,1,118,794,15
1,1,101,795,7
1,1,90,796,19
1,1,109,797,7
1,1,100,798,19
1,1,130,799,5
1,1,121,800,18
1,1,112,801,14
1,1,118,802,6
1,1,84,803,13
1,1,100,804,22
1,1,117,805,27
1,1,85,806,6
1,1,87,807,29
1,1,90,808,10
1,1,122,809,26
1,1,80,810,10
1,1,106,811,2
1,1,99,812,29
1,1,108,813,23
1,1,83,814,28
1,1,86,815,12
1,1,105,816,12
1,1,124,817,20
1,1,94,818,10
1,1,92,819,17
1,1,88,820,10
1,1,82,821,23
1,1,108,822,25
1,1,97,823,13
1,1,80,824,11
1,1,123,825,29
1,1,82,826,3
1,1,91,827,6
1,1,123,828,30
1,1,88,829,27
1,1,94,830,16
1,1,130,831,12
1,1,117,832,2
1,1,80,833,9
1,1,122,834,13
1,1,126,835,5
1,1,81,836,14
1,1,106,837,23
1,1,89,838,11
1,1,110,839,8
1,1,123,840,4
1,1,109,841,10
1,1,124,842,12
1,1,90,843,27
1,1,109,844,30
1,1,120,845,10
1,1,121,846,20
1,1,93,847,29
1,1,83,848,2
1,1,89,849,7
1,1,122,850,20
1,1,90,851,11
1,1,107,852,22
1,1,107,853,12
1,1,119,854,12
1,1,80,855,6
1,1,87,856,25
1,1,94,857,11
1,1,112,858,12
1,1,114,859,3
1,1,101,860,25
1,1,117,861,16
1,1,85,862,10
1,1,101,863,21
1,1,106,864,16
1,1,128,865,4
1,1,130,866,17
1,1,90,867,15
1,1,88,868,13
1,1,120,869,6
1,1,98,870,22
1,1,99,871,25
1,1,90,872,7
1,1,102,873,23
1,1,82,874,18
1,1,100,875,25
1,1,86,876,2
1,1,130,877,2
1,1,103,878,18
1,1,103,879,14
1,1,104,880,3
1,1,122,881,10
1,1,124,882,28
1,1,101,883,7
1,1,130,884,5
1,1,121,885,4
1,1,123,886,20
1,1,108,887,4
1,1,117,888,6
1,1,114,889,10
1,1,83,890,10
1,1,113,891,18
1,1,105,892,13
1,1,113,893,11
1,1,91,894,10
1,1,108,895,17
1,1,129,896,25
1,1,105,897,5
1,1,110,898,7
1,1,83,899,20
1,1,101,900,27
1,1,98,901,30
1,1,126,902,21
1,1,125,903,12
1,1,96,904,4
1,1,108,905,9
1,1,81,906,21
1,1,96,907,6
1,1,130,908,9
1,1,116,909,3
1,1,119,910,26
1,1,114,911,2
1,1,103,912,28
1,1,125,913,27
1,1,95,914,3
1,1,103,915,8
1,1,90,916,23
1,1,112,917,2
1,1,116,918,4
1,1,110,919,26
1,1,112,920,7
1,1,111,921,1
1,1,121,922,26
1,1,127,923,28
1,1,115,924,29
1,1,125,925,26
1,1,113,926,17
1,1,82,927,1
1,1,114,928,25
1,1,110,929,7
1,1,89,930,13
1,1,124,931,6
1,1,125,932,12
1,1,124,933,23
1,1,119,934,8
1,1,116,935,15
1,1,108,936,16
1,1,84,937,3
1,1,130,938,25
1,1,106,939,17
1,1,85,940,2
1,1,112,941,19
1,1,81,942,5
1,1,98,943,9
1,1,94,944,12
1,1,128,945,29
1,1,116,946,28
1,1,129,947,18
1,1,81,948,10
1,1,121,949,2
1,1,80,950,13
1,1,85,951,9
1,1,82,952,25
1,1,109,953,6
1,1,88,954,19
1,1,114,955,26
1,1,124,956,11
1,1,105,957,21
1,1,104,958,10
1,1,81,959,25
1,1,84,960,9
1,1,95,961,21
1,1,110,962,23
1,1,119,963,28
1,1,125,964,19
1,1,98,965,29
1,1,94,966,5
1,1,124,967,5
1,1,88,968,27
1,1,104,969,23
1,1,128,970,30
1,1,106,971,23
1,1,90,972,15
1,1,80,973,7
1,1,111,974,9
1,1,108,975,30
1,1,127,976,10
1,1,112,977,1
1,1,121,978,20
1,1,114,979,7
1,1,121,980,29
1,1,120,981,13
1,1,109,982,13
1,1,118,983,15
1,1,120,984,23
1,1,111,985,23
1,1,111,986,25
1,1,91,987,25
1,1,95,988,22
1,1,88,989,10
1,1,126,990,17
1,1,101,991,21
1,1,108,992,13
1,1,100,993,7
1,1,80,994,6
1,1,124,995,4
1,1,120,996,3
1,1,109,997,25
1,1,106,998,19
1,1,106,999,6
1,1,116,1000,27
1,1,81,1001,3
1,1,121,1002,20
1,1,121,1003,25
1,1,94,1004,20
1,1,88,1005,8
1,1,128,1006,9
1,1,104,1007,6
1,1,119,1008,24
1,1,91,1009,28
1,1,113,1010,5
1,1,87,1011,21
1,1,115,1012,25
1,1,122,1013,9
1,1,94,1014,4
1,1,95,1015,30
1,1,115,1016,19
1,1,113,1017,11
1,1,103,1018,10
1,1,104,1019,13
1,1,116,1020,2
1,1,125,1021,10
1,1,119,1022,12
1,1,90,1023,24
1,1,102,1024,19
1,1,121,1025,3
1,1,92,1026,18
1,1,104,1027,20
1,1,118,1028,26
1,1,125,1029,6
1,1,90,1030,7
1,1,111,1031,1
1,1,116,1032,10
1,1,81,1033,8
1,1,111,1034,20
1,1,85,1035,20
1,1,108,1036,18
1,1,106,1037,1
1,1,91,1038,24
1,1,118,1039,21
1,1,112,1040,18
1,1,82,1041,8
1,1,109,1042,6
1,1,130,1043,10
1,1,129,1044,11
1,1,109,1045,13
1,1,112,1046,27
1,1,95,1047,4
1,1,94,1048,23
1,1,114,1049,12
1,1,82,1050,16
1,1,87,1051,5
1,1,97,1052,6
1,1,105,1053,29
1,1,106,1054,12
1,1,129,1055,22
1,1,89,1056,7
1,1,86,1057,4
1,1,81,1058,27
1,1,126,1059,16
1,1,88,1060,27
1,1,103,1061,21
1,1,87,1062,10
1,1,100,1063,24
1,1,83,1064,9
1,1,80,1065,12
1,1,117,1066,6
1,1,93,1067,8
1,1,82,1068,14
1,1,107,1069,28
1,1,130,1070,23
1,1,129,1071,28
1,1,89,1072,4
1,1,125,1073,29
1,1,99,1074,13
1,1,85,1075,29
1,1,129,1076,19
1,1,103,1077,10
1,1,96,1078,22
1,1,111,1079,28
1,1,92,1080,16
1,1,101,1081,4
1,1,95,1082,2
1,1,111,1083,9
1,1,86,1084,20
1,1,112,1085,4
1,1,128,1086,6
1,1,114,1087,18
1,1,126,1088,6
1,1,84,1089,4
1,1,89,1090,14
1,1,118,1091,11
1,1,100,1092,18
1,1,130,1093,30
1,1,123,1094,25
1,1,81,1095,17
1,1,99,1096,26
1,1,111,1097,12
1,1,92,1098,9
1,1,116,1099,4
1,1,114,1100,29
1,1,113,1101,17
1,1,128,1102,24
1,1,108,1103,28
1,1,120,1104,9
1,1,123,1105,24
1,1,109,1106,12
1,1,124,1107,23
1,1,83,1108,11
1,1,94,1109,9
1,1,119,1110,22
1,1,87,1111,16
1,1,107,1112,7
1,1,97,1113,10
1,1,92,1114,27
1,1,80,1115,9
1,1,104,1116,5
1,1,117,1117,13
1,1,84,1118,24
1,1,105,1119,8
1,1,94,1120,7
1,1,86,1121,30
1,1,110,1122,6
1,1,95,1123,4
1,1,126,1124,10
1,1,130,1125,7
1,1,113,1126,11
1,1,89,1127,23
1,1,88,1128,24
1,1,82,1129,1
1,1,114,1130,2
1,1,94,1131,13
1,1,117,1132,20
1,1,100,1133,5
1,1,112,1134,12
1,1,111,1135,4
1,1,127,1136,10
1,1,126,1137,21
1,1,80,1138,8
1,1,124,1139,13
1,1,93,1140,8
1,1,93,1141,25
1,1,88,1142,24
1,1,98,1143,27
1,1,124,1144,20
1,1,94,1145,24
1,1,122,1146,28
1,1,80,1147,2
1,1,111,1148,27
1,1,93,1149,26
1,1,97,1150,19
1,1,81,1151,17
1,1,107,1152,26
1,1,110,1153,14
1,1,103,1154,6
1,1,85,1155,17
1,1,104,1156,14
1,1,119,1157,17
1,1,105,1158,27
1,1,117,1159,20
1,1,81,1160,3
1,1,109,1161,11
1,1,100,1162,2
1,1,93,1163,13
1,1,128,1164,25
1,1,89,1165,13
1,1,122,1166,13
1,1,118,1167,17
1,1,113,1168,26
1,1,110,1169,26
1,1,107,1170,27
1,1,92,1171,27
1,1,110,1172,6
1,1,129,1173,20
1,1,106,1174,20
1,1,122,1175,11
1,1,122,1176,1
1,1,105,1177,5
1,1,107,1178,14
1,1,87,1179,2
1,1,126,1180,23
1,1,90,1181,22
1,1,130,1182,29
1,1,117,1183,5
1,1,129,1184,23
1,1,100,1185,29
1,1,106,1186,6
1,1,110,1187,3
1,1,90,1188,3
1,1,87,1189,15
1,1,87,1190,27
1,1,87,1191,24
1,1,85,1192,22
1,1,120,1193,29
1,1,103,1194,14
1,1,129,1195,1
1,1,86,1196,26
1,1,88,1197,8
1,1,104,1198,24
1,1,97,1199,12
1,1,122,1200,7
1,1,126,1201,8
1,1,103,1202,3
1,1,125,1203,9
1,1,130,1204,14
1,1,128,1205,29
1,1,126,1206,15
1,1,130,1207,6
1,1,114,1208,12
1,1,116,1209,14
1,1,83,1210,19
1,1,98,1211,12
1,1,97,1212,12
1,1,106,1213,15
1,1,89,1214,29
1,1,82,1215,28
1,1,80,1216,1
1,1,81,1217,19
1,1,119,1218,16
1,1,90,1219,8
1,1,118,1220,21
1,1,119,1221,21
1,1,82,1222,3
1,1,82,1223,3
1,1,125,1224,12
1,1,118,1225,23
1,1,103,1226,3
1,1,87,1227,18
1,1,97,1228,16
1,1,100,1229,2
1,1,128,1230,23
1,1,88,1231,4
1,1,121,1232,6
1,1,127,1233,4
1,1,95,1234,20
1,1,125,1235,21
1,1,94,1236,13
1,1,80,1237,28
1,1,98,1238,20
1,1,95,1239,20
1,1,115,1240,5
1,1,102,1241,29
1,1,119,1242,15
1,1,110,1243,28
1,1,103,1244,24
1,1,86,1245,1
1,1,97,1246,24
1,1,94,1247,28
1,1,84,1248,7
1,1,128,1249,14
1,1,87,1250,5
1,1,114,1251,21
1,1,129,1252,29
1,1,119,1253,19
1,1,103,1254,14
1,1,116,1255,2
1,1,116,1256,12
1,1,111,1257,1
1,1,96,1258,2
1,1,121,1259,9
1,1,86,1260,20
1,1,114,1261,25
1,1,111,1262,2
1,1,87,1263,5
1,1,129,1264,4
1,1,103,1265,4
1,1,83,1266,25
1,1,91,1267,27
1,1,92,1268,25
1,1,114,1269,23
1,1,114,1270,18
1,1,82,1271,27
1,1,119,1272,15
1,1,114,1273,4
1,1,91,1274,17
1,1,111,1275,9
1,1,96,1276,25
1,1,118,1277,15
1,1,110,1278,5
1,1,104,1279,26
1,1,94,1280,24
1,1,89,1281,18
1,1,97,1282,17
1,1,95,1283,11
1,1,85,1284,7
1,1,116,1285,24
1,1,106,1286,2
1,1,83,1287,24
1,1,96,1288,7
1,1,124,1289,6
1,1,105,1290,9
1,1,84,1291,14
1,1,106,1292,10
1,1,90,1293,19
1,1,103,1294,12
1,1,91,1295,28
1,1,127,1296,8
1,1,112,1297,17
1,1,109,1298,10
1,1,82,1299,30
1,1,110,1300,12
1,1,88,1301,25
1,1,87,1302,1
1,1,100,1303,3
1,1,109,1304,15
1,1,84,1305,3
1,1,94,1306,1
1,1,106,1307,28
1,1,93,1308,26
1,1,117,1309,29
1,1,93,1310,6
1,1,95,1311,6
1,1,114,1312,30
1,1,123,1313,15
1,1,121,1314,19
1,1,99,1315,19
1,1,98,1316,29
1,1,94,1317,25
1,1,96,1318,24
1,1,99,1319,30
1,1,106,1320,27
1,1,80,1321,17
1,1,102,1322,30
1,1,130,1323,13
1,1,118,1324,5
1,1,106,1325,5
1,1,101,1326,30
1,1,119,1327,20
1,1,113,1328,7
1,1,116,1329,29
1,1,91,1330,22
1,1,118,1331,1
1,1,112,1332,27
1,1,118,1333,30
1,1,126,1334,2
1,1,127,1335,11
1,1,116,1336,27
1,1,84,1337,8
1,1,120,1338,9
1,1,88,1339,15
1,1,88,1340,22
1,1,90,1341,29
1,1,102,1342,5
1,1,115,1343,18
1,1,120,1344,19
1,1,81,1345,26
1,1,104,1346,6
1,1,90,1347,24
1,1,82,1348,10
1,1,115,1349,28
1,1,101,1350,19
1,1,88,1351,19
1,1,109,1352,16
1,1,109,1353,3
1,1,109,1354,12
1,1,112,1355,23
1,1,110,1356,21
1,1,87,1357,13
1,1,123,1358,9
1,1,111,1359,6
1,1,121,1360,19
