id,points,rebounds,assists,blocks,steals,turnover,fouls,fieldGoalsPercentage,threePointsPercentage,freeThrowsPercentage,partOfteam,partOfgame
154,87,40,59,20,19,10,14,0.67,0.44,0.75,9,44
155,120,41,42,11,19,10,11,0.48,0.32,0.83,16,45
156,128,49,52,17,16,15,13,0.48,0.40,0.82,20,46
157,96,57,52,11,13,14,12,0.53,0.47,0.79,18,47
158,82,51,56,10,18,16,16,0.59,0.36,0.86,5,48
159,106,41,45,14,11,12,11,0.57,0.40,0.87,8,49
160,118,56,57,10,11,16,19,0.68,0.30,0.83,7,50
161,96,47,48,19,16,15,10,0.59,0.36,0.71,3,51
162,116,41,60,18,14,12,16,0.62,0.33,0.86,16,52
163,127,60,60,17,14,13,18,0.52,0.29,0.85,17,53
164,85,51,52,20,11,11,10,0.41,0.34,0.79,5,54
165,90,47,60,20,20,12,16,0.49,0.46,0.84,30,55
166,111,60,56,15,20,20,18,0.52,0.38,0.86,28,56
167,87,50,45,15,19,20,20,0.65,0.49,0.85,10,57
168,102,46,55,14,12,15,12,0.67,0.50,0.76,16,58
169,124,57,43,18,16,16,15,0.63,0.23,0.71,27,59
170,82,40,42,20,14,15,17,0.61,0.24,0.81,30,60
171,117,52,55,11,16,12,15,0.41,0.39,0.78,13,61
172,97,50,48,19,10,18,16,0.41,0.41,0.74,21,62
173,98,41,51,11,11,14,14,0.70,0.27,0.75,23,63
174,105,52,44,17,18,12,13,0.50,0.36,0.84,26,64
175,100,60,48,11,16,10,20,0.63,0.36,0.73,10,65
176,122,46,44,13,15,16,11,0.43,0.44,0.81,4,66
177,88,60,42,20,18,13,11,0.43,0.49,0.73,21,67
178,96,48,46,18,16,17,10,0.51,0.30,0.86,29,68
179,129,48,58,16,11,15,10,0.67,0.41,0.83,7,69
180,97,55,48,17,16,15,19,0.42,0.36,0.72,6,70
181,120,40,58,16,19,11,20,0.68,0.24,0.77,30,71
182,82,47,50,19,17,14,14,0.58,0.29,0.87,9,72
183,87,44,41,20,11,20,20,0.61,0.41,0.71,16,73
184,109,55,50,18,16,16,13,0.47,0.29,0.81,5,74
185,86,42,41,12,18,15,11,0.66,0.40,0.82,29,75
186,128,43,54,15,11,16,18,0.66,0.34,0.73,13,76
187,105,48,46,17,18,15,20,0.41,0.31,0.83,12,77
188,119,43,57,13,18,12,20,0.44,0.26,0.72,3,78
189,130,52,53,16,17,18,10,0.50,0.22,0.89,28,79
190,109,53,48,20,10,18,15,0.49,0.21,0.90,12,80
191,90,43,45,10,19,10,18,0.50,0.41,0.82,29,81
192,95,41,48,12,10,17,17,0.52,0.42,0.89,16,82
193,80,55,46,11,13,20,11,0.47,0.23,0.87,10,83
194,83,43,57,18,20,20,19,0.41,0.32,0.78,13,84
195,115,56,54,20,16,10,18,0.54,0.39,0.74,7,85
196,103,44,59,11,18,18,15,0.49,0.30,0.79,22,86
197,91,48,45,18,15,18,12,0.55,0.38,0.75,3,87
198,122,57,55,12,13,10,17,0.63,0.35,0.83,11,88
199,83,44,59,15,19,12,10,0.62,0.44,0.80,3,89
200,85,45,56,11,11,14,12,0.52,0.25,0.89,13,90
201,128,49,56,19,16,13,19,0.56,0.26,0.83,21,91
202,115,54,41,19,10,20,17,0.54,0.43,0.87,14,92
203,130,55,48,20,18,13,17,0.41,0.41,0.90,11,93
204,113,59,54,14,16,17,14,0.66,0.39,0.77,9,94
205,83,47,57,14,17,16,18,0.41,0.32,0.83,16,95
206,88,59,47,13,13,11,19,0.59,0.21,0.84,18,96
207,114,42,46,13,14,13,14,0.52,0.50,0.75,30,97
208,117,53,43,14,13,12,19,0.46,0.34,0.80,15,98
209,129,44,53,16,12,18,20,0.65,0.24,0.84,8,99
210,114,48,40,18,16,16,19,0.65,0.30,0.77,8,100
211,90,41,41,13,10,14,18,0.51,0.41,0.72,27,101
212,127,55,40,16,13,16,20,0.55,0.48,0.72,16,102
213,114,54,52,18,14,10,20,0.50,0.25,0.77,10,103
214,117,48,50,20,16,18,11,0.46,0.26,0.79,12,104
215,98,55,46,14,13,15,11,0.69,0.40,0.85,27,105
216,117,60,51,13,18,14,13,0.61,0.27,0.79,10,106
217,99,52,45,19,19,18,19,0.58,0.39,0.74,13,107
218,126,55,46,15,18,18,16,0.68,0.22,0.74,16,108
219,107,48,45,14,16,12,15,0.47,0.20,0.81,6,109
220,124,52,60,17,10,14,20,0.51,0.36,0.70,30,110
221,92,55,46,18,16,15,18,0.58,0.26,0.75,13,111
222,116,41,59,19,13,10,12,0.44,0.30,0.74,23,112
223,95,43,50,11,15,16,13,0.43,0.34,0.90,3,113
224,82,53,60,11,10,19,20,0.69,0.47,0.89,29,114
225,116,53,43,18,10,18,11,0.64,0.31,0.73,8,115
226,85,48,59,20,16,12,16,0.48,0.38,0.85,15,116
227,85,60,56,16,11,10,17,0.52,0.48,0.82,7,117
228,127,59,48,20,13,10,10,0.40,0.37,0.85,5,118
229,86,56,51,12,10,16,17,0.70,0.40,0.76,1,119
230,119,40,48,19,15,15,20,0.60,0.42,0.76,8,120
231,121,43,41,12,19,17,20,0.59,0.38,0.80,16,121
232,80,46,40,13,17,17,20,0.50,0.45,0.81,4,122
233,114,52,50,16,11,18,10,0.69,0.41,0.81,12,123
234,94,41,51,19,17,20,20,0.46,0.46,0.71,28,124
235,101,46,41,13,17,19,19,0.43,0.44,0.71,23,125
236,119,45,53,12,18,14,15,0.42,0.47,0.80,3,126
237,80,46,58,12,10,19,19,0.65,0.40,0.77,15,127
238,111,54,57,17,12,17,11,0.63,0.22,0.83,18,128
239,128,49,56,11,13,20,10,0.46,0.21,0.79,11,129
240,107,41,44,10,17,16,18,0.58,0.39,0.73,20,130
241,105,44,53,13,12,18,14,0.58,0.39,0.90,23,131
242,128,40,51,20,18,15,10,0.58,0.32,0.83,14,132
243,88,60,59,10,16,18,10,0.61,0.39,0.72,18,133
244,90,53,49,17,17,13,20,0.46,0.23,0.75,6,134
245,125,47,59,10,12,10,10,0.41,0.34,0.77,22,135
246,130,47,45,13,12,11,10,0.62,0.24,0.78,12,136
247,103,42,41,17,12,10,18,0.45,0.33,0.89,26,137
248,123,52,55,10,15,19,10,0.55,0.30,0.77,20,138
249,94,41,50,18,13,18,19,0.67,0.38,0.86,11,139
250,124,60,42,20,14,12,15,0.60,0.36,0.81,5,140
251,128,52,48,16,14,17,12,0.51,0.27,0.72,10,141
252,93,53,55,18,13,20,15,0.49,0.35,0.75,27,142
253,97,50,59,11,15,13,15,0.50,0.22,0.75,15,143
254,117,43,41,15,19,19,16,0.67,0.39,0.78,30,144
255,128,56,53,20,14,19,20,0.53,0.27,0.75,8,145
256,115,51,57,16,18,14,16,0.50,0.35,0.77,15,146
257,101,58,49,12,17,14,10,0.55,0.38,0.80,30,147
258,109,43,44,15,12,19,14,0.55,0.41,0.85,14,148
259,83,40,59,15,20,11,10,0.55,0.25,0.82,6,149
260,124,49,41,20,17,12,14,0.67,0.37,0.76,30,150
261,105,49,45,16,19,12,10,0.63,0.50,0.90,1,151
262,92,60,50,17,10,12,16,0.55,0.48,0.88,26,152
263,116,54,57,14,19,18,10,0.62,0.22,0.86,9,153
264,87,48,53,13,12,13,13,0.61,0.43,0.74,27,154
265,127,55,51,18,14,15,14,0.58,0.26,0.76,17,155
266,99,52,40,13,15,17,14,0.54,0.29,0.72,26,156
267,114,56,49,16,19,12,19,0.46,0.33,0.76,18,157
268,82,40,51,16,10,15,14,0.52,0.24,0.82,23,158
269,99,56,54,13,10,14,10,0.41,0.26,0.71,15,159
270,129,58,55,14,12,18,19,0.48,0.35,0.80,13,160
271,103,47,45,15,17,17,16,0.49,0.41,0.77,2,161
272,89,51,41,16,19,17,20,0.45,0.30,0.77,1,162
273,99,57,52,17,16,15,13,0.67,0.47,0.74,12,163
274,108,60,56,10,20,12,13,0.41,0.25,0.82,20,164
275,85,60,49,10,15,18,13,0.45,0.25,0.77,3,165
276,96,48,54,20,20,14,16,0.53,0.42,0.73,11,166
277,119,51,41,14,18,10,15,0.45,0.31,0.70,10,167
278,114,52,44,20,11,13,13,0.55,0.41,0.89,13,168
279,104,42,54,15,15,16,18,0.64,0.21,0.81,2,169
280,108,47,43,19,16,11,16,0.52,0.29,0.79,25,170
281,103,58,57,18,18,13,17,0.52,0.45,0.89,26,171
282,98,41,50,10,20,10,17,0.51,0.42,0.81,2,172
283,99,59,40,14,11,18,17,0.64,0.44,0.90,7,173
284,120,60,56,14,18,15,18,0.59,0.29,0.84,18,174
285,112,57,48,18,16,12,15,0.70,0.43,0.89,23,175
286,94,52,41,11,15,12,15,0.54,0.43,0.80,3,176
287,123,46,41,15,18,11,18,0.63,0.20,0.83,3,177
288,95,45,41,19,17,14,11,0.63,0.36,0.80,25,178
289,83,51,55,19,10,16,19,0.46,0.34,0.84,15,179
290,120,56,42,14,16,16,11,0.48,0.29,0.89,21,180
291,117,46,57,11,16,12,19,0.47,0.27,0.81,10,181
292,87,45,53,10,13,18,10,0.46,0.30,0.79,13,182
293,109,44,51,19,10,13,13,0.69,0.29,0.78,10,183
294,118,48,52,16,11,15,13,0.67,0.46,0.76,7,184
295,125,58,54,12,14,13,20,0.48,0.23,0.79,27,185
296,83,43,52,16,16,18,15,0.57,0.25,0.77,20,186
297,125,60,42,10,12,17,15,0.58,0.30,0.72,9,187
298,98,59,44,18,11,14,11,0.57,0.32,0.88,24,188
299,94,49,55,17,20,19,17,0.53,0.26,0.90,14,189
300,98,55,52,12,16,14,19,0.41,0.31,0.90,13,190
301,100,50,50,17,16,11,16,0.45,0.42,0.86,23,191
302,113,52,55,12,13,16,15,0.63,0.43,0.71,4,192
303,109,55,47,12,15,19,13,0.43,0.44,0.86,26,193
304,83,50,44,11,11,18,15,0.68,0.43,0.75,29,194
305,105,45,60,19,17,19,15,0.46,0.41,0.75,4,195
306,119,42,45,11,19,12,20,0.44,0.31,0.76,18,196
307,105,41,47,20,19,17,14,0.47,0.46,0.81,12,197
308,117,54,49,18,19,13,19,0.70,0.29,0.84,21,198
309,81,51,49,12,10,15,17,0.48,0.32,0.78,1,199
310,84,55,49,19,12,11,11,0.43,0.23,0.77,12,200
311,123,42,52,20,18,20,20,0.41,0.24,0.73,23,201
312,108,48,40,17,13,18,12,0.42,0.32,0.74,29,202
313,115,44,41,20,16,16,16,0.44,0.40,0.72,15,203
314,130,53,41,10,17,10,19,0.42,0.44,0.81,28,204
315,95,53,57,14,16,11,13,0.69,0.27,0.81,19,205
316,92,51,50,20,13,16,12,0.47,0.34,0.75,26,206
317,118,45,48,11,14,10,15,0.60,0.46,0.86,18,207
318,89,59,47,17,20,18,18,0.63,0.46,0.84,18,208
319,95,54,43,13,20,13,11,0.59,0.37,0.87,8,209
320,97,59,47,16,13,14,12,0.41,0.23,0.87,21,210
321,90,42,44,14,15,12,12,0.41,0.33,0.82,24,211
322,81,47,54,10,16,14,16,0.59,0.43,0.82,11,212
323,91,50,50,14,15,15,17,0.51,0.31,0.75,6,213
324,82,48,51,15,11,17,18,0.67,0.50,0.83,2,214
325,124,48,55,13,13,17,11,0.45,0.43,0.82,25,215
326,104,42,59,10,10,17,14,0.64,0.24,0.87,23,216
327,117,56,49,20,12,13,17,0.63,0.40,0.75,2,217
328,89,49,45,16,18,11,16,0.50,0.43,0.85,22,218
329,105,46,48,20,10,10,11,0.64,0.45,0.71,21,219
330,122,49,46,10,11,10,11,0.54,0.47,0.87,19,220
331,89,49,53,13,20,19,17,0.50,0.48,0.83,13,221
332,87,51,41,14,15,16,18,0.67,0.32,0.77,4,222
333,106,51,59,10,16,17,12,0.45,0.38,0.79,9,223
334,102,52,49,16,12,19,14,0.47,0.50,0.75,9,224
335,115,57,53,15,17,15,11,0.43,0.49,0.85,3,225
336,110,48,48,10,17,17,16,0.56,0.42,0.86,24,226
337,83,43,42,13,15,12,18,0.68,0.44,0.75,11,227
338,82,48,50,10,18,12,20,0.61,0.32,0.88,5,228
339,122,42,57,13,19,19,18,0.60,0.41,0.79,22,229
340,128,53,54,13,17,10,20,0.40,0.20,0.89,24,230
341,91,60,43,14,12,20,20,0.64,0.40,0.78,20,231
342,93,45,40,11,16,16,14,0.49,0.25,0.87,8,232
343,125,41,45,17,12,12,17,0.41,0.44,0.85,24,233
344,102,51,53,10,14,10,12,0.70,0.39,0.85,14,234
345,106,45,50,14,11,15,11,0.42,0.46,0.90,25,235
346,95,58,41,15,16,18,15,0.63,0.23,0.71,27,236
347,84,54,59,15,12,20,11,0.44,0.36,0.77,16,237
348,115,60,42,19,15,16,19,0.61,0.48,0.77,30,238
349,93,49,42,11,12,11,19,0.52,0.21,0.79,21,239
350,101,47,48,11,18,17,19,0.69,0.46,0.80,23,240
351,88,45,40,19,18,17,18,0.49,0.24,0.83,19,241
352,92,41,54,19,18,15,16,0.47,0.32,0.74,6,242
353,87,57,52,10,20,12,19,0.53,0.41,0.79,20,243
354,117,51,54,12,13,16,17,0.67,0.35,0.73,29,244
355,89,40,59,11,12,14,19,0.44,0.23,0.81,9,245
356,82,40,57,19,18,12,17,0.57,0.21,0.75,26,246
357,81,60,50,13,19,20,17,0.46,0.47,0.85,8,247
358,95,45,45,20,11,10,12,0.65,0.29,0.79,20,248
359,103,51,59,12,13,19,18,0.47,0.37,0.71,12,249
360,93,42,54,19,13,18,17,0.58,0.36,0.82,30,250
361,88,56,48,19,14,13,16,0.65,0.26,0.87,27,251
362,111,60,52,15,13,15,20,0.69,0.44,0.79,26,252
363,91,59,54,10,19,18,19,0.67,0.47,0.72,14,253
364,123,42,44,15,12,12,19,0.63,0.44,0.83,20,254
365,94,59,46,16,13,19,11,0.56,0.26,0.89,27,255
366,109,58,44,11,12,13,11,0.58,0.50,0.83,17,256
367,105,56,55,17,11,11,12,0.57,0.37,0.75,22,257
368,87,58,55,15,14,20,19,0.58,0.25,0.72,8,258
369,89,57,42,13,11,13,19,0.46,0.21,0.81,22,259
370,94,44,41,17,19,12,15,0.50,0.49,0.74,23,260
371,91,55,48,13,16,12,14,0.60,0.44,0.82,12,261
372,120,44,54,11,13,20,19,0.40,0.48,0.88,21,262
373,113,57,47,12,20,10,17,0.48,0.33,0.73,13,263
374,102,45,54,17,17,16,12,0.43,0.31,0.71,8,264
375,110,51,55,15,18,11,14,0.63,0.35,0.70,11,265
376,111,55,40,17,19,17,20,0.47,0.36,0.83,13,266
377,95,52,59,13,10,18,18,0.58,0.43,0.86,26,267
378,84,49,57,20,11,13,17,0.59,0.44,0.85,8,268
379,129,57,40,11,12,19,10,0.64,0.43,0.86,13,269
380,104,41,42,16,11,20,19,0.63,0.32,0.88,18,270
381,89,52,54,10,12,10,17,0.52,0.43,0.77,3,271
382,129,44,41,15,14,17,17,0.70,0.27,0.83,10,272
383,107,41,41,13,14,19,18,0.66,0.47,0.80,27,273
384,89,43,48,15,17,14,15,0.45,0.44,0.76,18,274
385,96,50,41,16,20,12,17,0.62,0.42,0.83,27,275
386,93,56,51,17,14,18,10,0.57,0.45,0.83,12,276
387,115,41,53,17,19,11,11,0.66,0.24,0.77,1,277
388,114,59,58,13,11,12,18,0.50,0.40,0.84,4,278
389,98,43,57,17,20,11,15,0.59,0.45,0.81,3,279
390,89,58,57,12,15,14,11,0.63,0.22,0.73,8,280
391,98,56,50,10,19,19,18,0.41,0.32,0.82,14,281
392,87,45,42,20,20,20,11,0.49,0.43,0.86,30,282
393,104,53,50,20,20,13,20,0.50,0.33,0.82,28,283
394,119,47,46,13,13,20,10,0.51,0.30,0.84,8,284
395,91,49,48,14,10,18,16,0.61,0.26,0.82,3,285
396,80,50,55,15,17,13,14,0.53,0.48,0.70,13,286
397,116,57,50,16,10,20,17,0.69,0.40,0.73,26,287
398,110,57,56,15,18,13,18,0.42,0.29,0.85,11,288
399,111,59,49,12,16,19,12,0.67,0.34,0.89,20,289
400,120,46,59,15,17,16,14,0.48,0.37,0.88,22,290
401,103,46,52,12,18,10,15,0.66,0.42,0.82,13,291
402,123,40,49,12,11,10,12,0.52,0.38,0.71,2,292
403,130,49,52,13,18,15,16,0.50,0.36,0.73,22,293
404,93,43,50,10,16,19,11,0.60,0.26,0.80,11,294
405,116,59,60,16,11,16,11,0.62,0.24,0.80,18,295
406,108,60,50,14,11,18,10,0.43,0.42,0.73,18,296
407,93,60,47,11,20,12,13,0.50,0.42,0.81,10,297
408,129,50,56,12,12,14,18,0.56,0.29,0.87,21,298
409,83,52,58,12,19,17,14,0.60,0.35,0.76,11,299
410,87,60,57,10,13,20,18,0.56,0.23,0.80,30,300
411,96,44,56,13,20,14,19,0.44,0.35,0.90,14,301
412,128,57,51,20,19,18,12,0.49,0.34,0.90,22,302
413,80,41,56,16,10,17,17,0.59,0.40,0.88,15,303
414,126,40,45,15,11,13,20,0.66,0.29,0.71,12,304
415,116,44,46,13,14,12,19,0.57,0.31,0.73,2,305
416,93,52,56,17,12,20,18,0.54,0.23,0.85,19,306
417,92,51,59,13,20,10,19,0.41,0.35,0.79,7,307
418,115,41,51,15,10,19,16,0.43,0.28,0.83,1,308
419,90,53,48,20,16,20,19,0.62,0.25,0.86,8,309
420,104,48,42,16,12,15,20,0.63,0.37,0.80,16,310
421,86,46,54,14,20,16,19,0.63,0.46,0.86,6,311
422,122,42,57,20,11,14,16,0.58,0.41,0.76,8,312
423,120,51,55,13,20,20,16,0.41,0.42,0.74,2,313
424,85,43,45,17,20,13,19,0.47,0.35,0.72,28,314
425,96,58,45,11,17,12,17,0.44,0.35,0.81,10,315
426,88,43,57,10,14,20,20,0.54,0.37,0.82,17,316
427,96,44,57,19,12,19,19,0.50,0.44,0.85,9,317
428,117,47,44,14,20,20,11,0.45,0.35,0.73,4,318
429,85,41,57,18,13,13,10,0.58,0.34,0.77,11,319
430,125,55,46,18,12,18,11,0.52,0.40,0.86,7,320
431,98,45,40,17,20,19,16,0.55,0.27,0.84,13,321
432,124,46,54,14,19,10,16,0.52,0.27,0.78,24,322
433,94,58,40,11,20,12,18,0.50,0.44,0.77,18,323
434,91,55,45,15,15,17,17,0.62,0.28,0.73,16,324
435,88,51,42,11,17,17,11,0.60,0.26,0.85,15,325
436,128,51,42,11,10,10,10,0.50,0.26,0.87,8,326
437,92,53,56,17,11,17,16,0.42,0.37,0.89,10,327
438,122,55,57,18,14,18,15,0.54,0.20,0.71,4,328
439,82,44,55,18,14,12,17,0.44,0.45,0.75,7,329
440,103,54,56,16,19,18,14,0.50,0.23,0.74,27,330
441,97,54,54,18,19,19,16,0.70,0.47,0.71,16,331
442,94,54,55,20,14,15,17,0.56,0.22,0.76,26,332
443,127,53,40,20,20,20,20,0.69,0.33,0.85,27,333
444,120,51,49,10,19,20,11,0.66,0.45,0.78,9,334
445,92,54,45,20,10,14,16,0.51,0.44,0.79,23,335
446,127,46,49,11,10,14,13,0.69,0.31,0.73,12,336
447,80,55,55,19,19,16,19,0.53,0.31,0.77,30,337
448,104,55,49,17,15,11,16,0.51,0.42,0.75,5,338
449,93,52,60,17,16,12,14,0.41,0.35,0.86,4,339
450,101,45,57,16,12,10,11,0.58,0.25,0.81,27,340
451,129,57,52,20,19,14,12,0.69,0.30,0.72,8,341
452,101,60,52,13,15,15,14,0.54,0.49,0.81,9,342
453,112,57,46,12,10,17,15,0.53,0.46,0.84,20,343
454,129,57,60,11,11,16,15,0.66,0.49,0.70,5,344
455,116,57,53,11,11,15,12,0.41,0.46,0.76,14,345
456,111,58,46,14,11,10,10,0.67,0.24,0.71,9,346
457,116,53,54,16,13,11,11,0.51,0.39,0.79,3,347
458,95,52,49,20,13,16,18,0.62,0.23,0.86,6,348
459,97,60,45,19,16,18,20,0.50,0.20,0.81,6,349
460,93,51,53,10,13,16,15,0.49,0.40,0.77,24,350
461,109,52,48,15,10,18,12,0.63,0.47,0.71,7,351
462,94,50,46,18,17,15,13,0.47,0.43,0.85,19,352
463,99,51,52,15,10,11,19,0.55,0.44,0.74,8,353
464,95,55,49,13,14,12,16,0.65,0.46,0.73,23,354
465,101,57,49,16,18,17,16,0.56,0.34,0.82,26,355
466,83,53,43,20,18,10,16,0.62,0.35,0.82,9,356
467,126,40,49,11,11,13,15,0.62,0.32,0.78,4,357
468,129,52,45,19,13,10,19,0.46,0.29,0.77,10,358
469,99,52,56,10,18,19,14,0.66,0.34,0.88,22,359
470,92,56,48,17,12,20,14,0.40,0.40,0.75,13,360
471,111,49,41,20,17,14,12,0.44,0.34,0.90,20,361
472,120,58,60,18,18,18,17,0.64,0.32,0.73,16,362
473,125,46,56,18,15,12,14,0.60,0.43,0.72,17,363
474,112,47,40,20,17,20,16,0.66,0.21,0.72,27,364
475,108,60,58,12,19,12,19,0.43,0.37,0.80,7,365
476,98,41,43,11,19,18,10,0.49,0.22,0.83,18,366
477,83,52,59,12,15,17,15,0.49,0.45,0.73,20,367
478,108,60,60,11,18,17,20,0.51,0.35,0.89,25,368
479,108,58,53,10,20,18,11,0.46,0.43,0.89,2,369
480,122,45,58,15,20,10,20,0.52,0.39,0.90,6,370
481,106,60,55,18,20,19,11,0.41,0.38,0.83,25,371
482,117,44,43,18,16,18,20,0.51,0.41,0.78,4,372
483,106,52,54,10,14,14,17,0.46,0.32,0.81,6,373
484,80,54,44,19,14,16,16,0.61,0.21,0.79,19,374
485,103,59,51,14,12,17,12,0.65,0.50,0.74,3,375
486,126,43,55,12,17,20,19,0.68,0.47,0.76,30,376
487,91,49,58,17,17,14,14,0.46,0.28,0.79,5,377
488,118,60,55,15,11,18,18,0.64,0.23,0.87,30,378
489,123,45,44,20,10,18,13,0.61,0.37,0.76,18,379
490,103,40,48,19,19,19,16,0.58,0.44,0.72,11,380
491,100,57,53,14,20,18,12,0.58,0.36,0.83,14,381
492,110,53,51,14,16,11,20,0.47,0.46,0.82,11,382
493,91,57,50,16,10,16,19,0.52,0.23,0.87,26,383
494,126,53,57,16,18,19,19,0.42,0.45,0.86,18,384
495,94,55,41,13,16,19,16,0.69,0.21,0.75,10,385
496,97,50,42,12,11,14,11,0.58,0.40,0.80,27,386
497,120,40,59,20,12,11,12,0.43,0.22,0.71,21,387
498,98,60,52,10,14,16,12,0.69,0.34,0.84,1,388
499,110,48,59,12,14,19,12,0.53,0.41,0.78,20,389
500,100,57,41,17,19,19,13,0.63,0.22,0.86,20,390
501,116,54,49,12,16,18,17,0.45,0.23,0.77,25,391
502,124,45,46,19,13,15,20,0.43,0.41,0.84,8,392
503,99,43,47,15,13,14,16,0.64,0.34,0.72,29,393
504,81,54,58,18,12,17,20,0.58,0.34,0.74,16,394
505,121,52,47,19,17,14,14,0.59,0.39,0.83,21,395
506,114,46,52,10,19,10,13,0.52,0.41,0.87,9,396
507,103,50,59,10,11,20,17,0.51,0.30,0.79,18,397
508,110,51,49,14,13,16,13,0.45,0.39,0.81,24,398
509,97,45,41,18,19,10,16,0.56,0.29,0.83,2,399
510,114,60,41,16,10,19,14,0.42,0.46,0.83,30,400
511,103,42,46,10,15,14,18,0.68,0.38,0.72,30,401
512,114,59,47,19,20,11,10,0.54,0.28,0.86,29,402
513,103,56,48,14,17,11,11,0.68,0.46,0.86,16,403
514,87,55,58,10,10,16,19,0.54,0.39,0.72,9,404
515,95,45,51,18,16,11,16,0.57,0.37,0.87,29,405
516,86,50,41,11,20,13,16,0.43,0.49,0.78,19,406
517,118,46,44,17,13,20,17,0.68,0.30,0.82,24,407
518,117,41,50,17,17,16,13,0.57,0.39,0.82,11,408
519,106,52,59,19,11,20,15,0.58,0.36,0.86,23,409
520,123,44,50,11,14,19,19,0.58,0.39,0.74,22,410
521,128,52,53,11,14,18,18,0.59,0.37,0.86,14,411
522,101,49,55,12,15,18,18,0.58,0.24,0.71,14,412
523,115,43,46,19,15,16,18,0.63,0.31,0.85,3,413
524,101,43,59,14,20,18,11,0.58,0.27,0.77,19,414
525,100,59,53,13,16,18,11,0.45,0.45,0.85,23,415
526,126,52,45,18,15,10,10,0.66,0.32,0.78,5,416
527,83,40,44,18,19,20,15,0.62,0.25,0.73,16,417
528,125,56,59,18,14,16,15,0.65,0.46,0.72,19,418
529,123,41,58,15,17,14,12,0.54,0.24,0.76,1,419
530,94,53,48,16,10,12,13,0.66,0.22,0.75,21,420
531,100,49,60,16,19,15,20,0.63,0.25,0.81,13,421
532,97,51,58,11,11,14,14,0.50,0.21,0.84,13,422
533,106,49,45,19,10,20,19,0.52,0.33,0.90,24,423
534,107,48,42,16,10,11,18,0.67,0.38,0.87,27,424
535,89,53,49,17,11,10,15,0.45,0.30,0.74,18,425
536,121,45,48,17,16,19,13,0.43,0.24,0.86,16,426
537,109,58,55,13,16,12,19,0.57,0.28,0.80,10,427
538,118,60,45,18,14,17,14,0.60,0.46,0.77,20,428
539,108,40,42,20,13,14,12,0.63,0.47,0.90,27,429
540,126,51,46,20,16,14,10,0.66,0.26,0.71,14,430
541,81,59,51,15,11,19,16,0.59,0.24,0.82,1,431
542,106,49,53,16,12,18,16,0.66,0.26,0.87,22,432
543,130,53,48,16,14,16,10,0.69,0.43,0.85,4,433
