salary,years,clause,employs,isEmployedBy,,
9675583,3,"""No-trade Clause""",370,22,,0.30538716
8254336,4,"""Amnesty Clause""",457,10,,0.131227742
3197925,5,"""Rose Clause""",313,13,,0.390257259
17702794,1,"""Team Option""",349,24,,0.340985777
2543793,3,"""Player Option""",203,8,,0.607963131
16858235,5,"""No-trade Clause""",438,1,,0.161453553
11054732,5,"""Amnesty Clause""",473,7,,0.100567353
17165138,4,"""Rose Clause""",269,1,,0.481014252
17198214,2,"""Team Option""",343,3,,0.350333138
15181448,1,"""Player Option""",365,28,,0.312257338
18546850,3,"""No-trade Clause""",344,17,,0.350235379
14307229,2,"""Amnesty Clause""",485,2,,0.085233764
16769789,1,"""Rose Clause""",449,11,,0.147028714
6186609,1,"""Team Option""",435,7,,0.170395017
4513070,1,"""Player Option""",493,13,,0.073193194
6284897,3,"""No-trade Clause""",436,13,,0.165271096
14134624,2,"""Amnesty Clause""",153,16,,0.688999673
13777537,5,"""Rose Clause""",145,25,,0.705331184
5123405,4,"""Team Option""",138,27,,0.71910472
14737049,1,"""Player Option""",205,14,,0.603224302
2487706,2,"""No-trade Clause""",434,18,,0.175183236
2257921,1,"""Amnesty Clause""",309,4,,0.394985075
14943518,5,"""Rose Clause""",447,8,,0.148598588
14914481,5,"""Team Option""",410,28,,0.224092466
18311005,5,"""Player Option""",331,5,,0.365245125
10761098,3,"""No-trade Clause""",522,8,,0.011153354
3879443,3,"""Amnesty Clause""",14,13,,0.979149415
14318709,1,"""Rose Clause""",300,30,,0.423406506
19934794,3,"""Team Option""",475,24,,0.098317534
16449669,1,"""Player Option""",107,11,,0.779867399
19004386,2,"""No-trade Clause""",431,9,,0.178466847
14779334,3,"""Amnesty Clause""",202,10,,0.609303312
17092335,5,"""Rose Clause""",290,24,,0.439330135
6610389,5,"""Team Option""",274,14,,0.475171657
15833098,1,"""Player Option""",177,7,,0.639967634
11573315,3,"""No-trade Clause""",390,27,,0.265092457
6068157,4,"""Amnesty Clause""",256,4,,0.511214996
13012846,3,"""Rose Clause""",466,29,,0.119692051
12199133,1,"""Team Option""",119,10,,0.756153499
16228959,2,"""Player Option""",311,10,,0.392369866
9175842,2,"""No-trade Clause""",89,19,,0.82566403
10607547,5,"""Amnesty Clause""",28,21,,0.956004452
7451209,2,"""Rose Clause""",262,3,,0.500710702
10950110,3,"""Team Option""",13,24,,0.980605031
15387268,3,"""Player Option""",234,22,,0.55413969
15187184,1,"""No-trade Clause""",429,7,,0.179291733
17430419,5,"""Amnesty Clause""",381,21,,0.292017865
9563693,1,"""Rose Clause""",389,11,,0.265617546
11530282,4,"""Team Option""",514,5,,0.031370299
2638798,2,"""Player Option""",286,19,,0.444769318
3942659,2,"""No-trade Clause""",247,5,,0.521216544
7215709,4,"""Amnesty Clause""",519,26,,0.016209577
16483069,1,"""Rose Clause""",151,1,,0.695942161
10847506,1,"""Team Option""",498,18,,0.064555838
19645476,4,"""Player Option""",459,5,,0.128335332
9938969,2,"""No-trade Clause""",15,18,,0.975321532
6759562,3,"""Amnesty Clause""",353,21,,0.330875122
7696559,1,"""Rose Clause""",399,15,,0.249308959
3857121,5,"""Team Option""",308,5,,0.396051209
3035330,3,"""Player Option""",264,24,,0.493757146
14758830,5,"""No-trade Clause""",233,3,,0.555507336
19903345,1,"""Amnesty Clause""",408,30,,0.225423774
6249259,3,"""Rose Clause""",319,18,,0.381246554
5975946,1,"""Team Option""",352,4,,0.335336195
14028830,5,"""Player Option""",409,1,,0.224810905
2986359,5,"""No-trade Clause""",287,4,,0.442624379
12191887,4,"""Amnesty Clause""",254,5,,0.515119106
14896690,5,"""Rose Clause""",396,29,,0.25219573
9512890,5,"""Team Option""",305,19,,0.407687762
17477233,3,"""Player Option""",501,27,,0.053570184
8698774,4,"""No-trade Clause""",87,17,,0.830019837
9933053,4,"""Amnesty Clause""",430,12,,0.17859479
18560609,1,"""Rose Clause""",190,26,,0.625668876
5257801,2,"""Team Option""",393,2,,0.262435939
15102900,4,"""Player Option""",224,13,,0.581583768
16262168,4,"""No-trade Clause""",6,12,,0.99379168
7757218,5,"""Amnesty Clause""",417,18,,0.208855281
5048934,1,"""Rose Clause""",76,23,,0.857298948
16672698,3,"""Team Option""",338,25,,0.354625362
9179630,5,"""Player Option""",518,10,,0.021445676
2335242,1,"""No-trade Clause""",469,3,,0.107307925
2967679,2,"""Amnesty Clause""",135,29,,0.720231735
8670493,2,"""Rose Clause""",414,7,,0.213350892
7746559,2,"""Team Option""",129,14,,0.737055087
18017293,3,"""Player Option""",505,8,,0.049406798
16146612,4,"""No-trade Clause""",75,13,,0.858918676
19171375,3,"""Amnesty Clause""",361,1,,0.318223403
19550268,4,"""Rose Clause""",386,15,,0.27098694
14662539,3,"""Team Option""",130,16,,0.731746598
3997979,5,"""Player Option""",123,18,,0.751565748
16356063,5,"""No-trade Clause""",38,6,,0.928909349
18441716,4,"""Amnesty Clause""",360,18,,0.318400652
12169314,1,"""Rose Clause""",297,21,,0.425672331
15905149,4,"""Team Option""",58,9,,0.892208966
16904770,5,"""Player Option""",164,15,,0.675015071
3000844,5,"""No-trade Clause""",131,7,,0.731430031
15791987,1,"""Amnesty Clause""",236,14,,0.543502628
13564050,3,"""Rose Clause""",524,30,,0.004805839
4894815,4,"""Team Option""",99,23,,0.796172385
11898966,2,"""Player Option""",229,27,,0.562989835
9938034,3,"""No-trade Clause""",92,5,,0.81391177
10132066,2,"""Amnesty Clause""",316,18,,0.388421599
19690136,4,"""Rose Clause""",461,4,,0.126117849
4704598,5,"""Team Option""",183,10,,0.63569479
5491425,5,"""Player Option""",259,19,,0.502987126
14385819,5,"""No-trade Clause""",374,24,,0.301316611
9881625,4,"""Amnesty Clause""",303,10,,0.414475394
10402431,5,"""Rose Clause""",400,22,,0.243257041
10789881,2,"""Team Option""",161,19,,0.681763837
16141445,5,"""Player Option""",404,26,,0.237982354
13930607,5,"""No-trade Clause""",489,30,,0.081515437
18958262,3,"""Amnesty Clause""",71,11,,0.86170896
5262638,2,"""Rose Clause""",16,27,,0.973671674
18769895,2,"""Team Option""",9,6,,0.990791438
8874445,4,"""Player Option""",94,5,,0.80925924
14915293,4,"""No-trade Clause""",43,24,,0.922134872
9164949,2,"""Amnesty Clause""",59,28,,0.890164128
19942422,2,"""Rose Clause""",346,8,,0.348099825
10815130,4,"""Team Option""",380,6,,0.292355959
14796405,5,"""Player Option""",4,22,,0.995930427
8149029,3,"""No-trade Clause""",69,11,,0.866557246
2286037,2,"""Amnesty Clause""",17,24,,0.972295304
10962225,1,"""Rose Clause""",160,1,,0.682106199
18304366,2,"""Team Option""",120,22,,0.755103656
19292300,2,"""Player Option""",288,21,,0.441219479
14607994,1,"""No-trade Clause""",237,17,,0.540453511
16135229,2,"""Amnesty Clause""",33,30,,0.946907803
19819534,2,"""Rose Clause""",32,25,,0.950089842
8334718,1,"""Team Option""",188,25,,0.632898835
6933087,2,"""Player Option""",261,11,,0.500836163
2532866,1,"""No-trade Clause""",167,4,,0.670541798
13874608,2,"""Amnesty Clause""",163,7,,0.677186386
5702682,2,"""Rose Clause""",206,19,,0.602775766
8457554,4,"""Team Option""",491,26,,0.078572792
6477563,4,"""Player Option""",387,28,,0.267643636
14019875,4,"""No-trade Clause""",479,19,,0.096472722
17835541,5,"""Amnesty Clause""",242,8,,0.532152858
18829553,3,"""Rose Clause""",243,26,,0.531329801
11290352,3,"""Team Option""",235,2,,0.550153473
9954196,4,"""Player Option""",450,18,,0.144768832
11179864,5,"""No-trade Clause""",178,4,,0.638418576
10389819,5,"""Amnesty Clause""",168,25,,0.666216954
2948264,2,"""Rose Clause""",385,11,,0.276502922
19246665,2,"""Team Option""",199,25,,0.610774503
14773475,4,"""Player Option""",106,5,,0.780413948
13590691,2,"""No-trade Clause""",97,1,,0.801174484
6059555,5,"""Amnesty Clause""",496,15,,0.067993786
5743816,5,"""Rose Clause""",509,7,,0.03863508
3021658,1,"""Team Option""",481,4,,0.095898024
2099589,4,"""Player Option""",52,13,,0.906476267
14567238,5,"""No-trade Clause""",173,2,,0.650662308
15491419,2,"""Amnesty Clause""",136,19,,0.719684595
9334836,4,"""Rose Clause""",7,11,,0.992788514
9321878,3,"""Team Option""",275,11,,0.470851029
5202938,4,"""Player Option""",47,22,,0.911575447
15967930,5,"""No-trade Clause""",348,12,,0.341949505
8988726,1,"""Amnesty Clause""",56,28,,0.898009862
14644771,5,"""Rose Clause""",193,3,,0.620914152
11579468,2,"""Team Option""",96,1,,0.80679837
10785852,4,"""Player Option""",48,18,,0.910962153
15589570,1,"""No-trade Clause""",487,5,,0.082813571
7051032,4,"""Amnesty Clause""",134,29,,0.721830191
16715507,4,"""Rose Clause""",359,22,,0.318476925
13000671,2,"""Team Option""",507,11,,0.046582636
16054894,5,"""Player Option""",377,8,,0.294986179
11047925,1,"""No-trade Clause""",407,4,,0.22875309
9872234,4,"""Amnesty Clause""",174,29,,0.648554068
8071657,3,"""Rose Clause""",29,28,,0.954813758
6823874,4,"""Team Option""",186,1,,0.634299217
4233965,5,"""Player Option""",384,12,,0.278062758
4365497,4,"""No-trade Clause""",362,14,,0.316806516
4774982,5,"""Amnesty Clause""",61,8,,0.886731859
8909340,2,"""Rose Clause""",462,18,,0.124534557
18378596,5,"""Team Option""",239,3,,0.53517273
11256904,4,"""Player Option""",398,5,,0.249656698
7293550,4,"""No-trade Clause""",114,27,,0.764362891
10987653,3,"""Amnesty Clause""",484,15,,0.088633596
8056618,5,"""Rose Clause""",412,20,,0.215009855
13495630,3,"""Team Option""",95,9,,0.807700223
7749431,2,"""Player Option""",266,7,,0.489082905
8048736,3,"""No-trade Clause""",156,15,,0.688088141
11691885,4,"""Amnesty Clause""",471,25,,0.105752015
16048277,5,"""Rose Clause""",482,10,,0.094588894
17873322,4,"""Team Option""",267,7,,0.485806193
16991786,4,"""Player Option""",470,20,,0.106562349
19886168,5,"""No-trade Clause""",165,27,,0.672456781
5202362,4,"""Amnesty Clause""",517,18,,0.02291559
2566923,2,"""Rose Clause""",301,20,,0.420489914
15404948,2,"""Team Option""",295,27,,0.429701535
3608757,5,"""Player Option""",60,15,,0.88991764
3393562,2,"""No-trade Clause""",171,10,,0.655252473
15318776,2,"""Amnesty Clause""",452,11,,0.136609511
11651004,3,"""Rose Clause""",298,28,,0.424370848
2947253,4,"""Team Option""",216,2,,0.59000533
9919717,4,"""Player Option""",419,17,,0.20059541
9232286,3,"""No-trade Clause""",293,6,,0.430988358
12095509,1,"""Amnesty Clause""",324,19,,0.377298314
9119317,3,"""Rose Clause""",453,3,,0.136187432
5093163,5,"""Team Option""",337,16,,0.355452245
15862431,4,"""Player Option""",440,17,,0.159556811
12350302,4,"""No-trade Clause""",184,16,,0.635236295
12726384,3,"""Amnesty Clause""",441,16,,0.158762749
13360590,4,"""Rose Clause""",445,19,,0.154098935
19530922,3,"""Team Option""",458,2,,0.129261803
14829899,1,"""Player Option""",211,25,,0.598121076
5570388,1,"""No-trade Clause""",36,6,,0.943001667
4344554,1,"""Amnesty Clause""",34,18,,0.945824496
16885226,2,"""Rose Clause""",368,5,,0.306482224
4359579,4,"""Team Option""",30,27,,0.951690665
7718468,2,"""Player Option""",285,3,,0.44652724
11760953,4,"""No-trade Clause""",391,10,,0.264524053
14253215,1,"""Amnesty Clause""",217,21,,0.589649488
3934204,3,"""Rose Clause""",278,23,,0.470004773
17641733,4,"""Team Option""",152,8,,0.694575916
4773028,3,"""Player Option""",112,26,,0.772227098
3505480,2,"""No-trade Clause""",122,29,,0.753834853
11444844,1,"""Amnesty Clause""",66,4,,0.879566352
4214562,3,"""Rose Clause""",251,13,,0.517403965
18537377,5,"""Team Option""",350,5,,0.340301801
12889118,5,"""Player Option""",77,28,,0.854114805
14312730,4,"""No-trade Clause""",521,12,,0.015057595
14631162,4,"""Amnesty Clause""",427,1,,0.185365488
15896787,5,"""Rose Clause""",159,22,,0.683102177
18156820,2,"""Team Option""",405,20,,0.234486432
18766353,5,"""Player Option""",109,29,,0.777765918
9269492,4,"""No-trade Clause""",31,25,,0.951634082
12121746,2,"""Amnesty Clause""",198,1,,0.613671319
4332817,3,"""Rose Clause""",477,9,,0.09779804
4444123,1,"""Team Option""",265,16,,0.49235895
16455839,4,"""Player Option""",215,11,,0.592095653
14083273,4,"""No-trade Clause""",448,5,,0.148065571
17432017,5,"""Amnesty Clause""",289,29,,0.439413349
10536790,3,"""Rose Clause""",158,17,,0.683755935
18528646,1,"""Team Option""",185,28,,0.634475261
12743523,3,"""Player Option""",179,20,,0.638028333
11854679,3,"""No-trade Clause""",375,3,,0.297336159
14213055,1,"""Amnesty Clause""",137,4,,0.719164461
3292558,2,"""Rose Clause""",62,3,,0.885868305
3571514,2,"""Team Option""",227,17,,0.571505946
9707610,1,"""Player Option""",270,4,,0.480129243
4297794,1,"""No-trade Clause""",460,18,,0.127965103
6626273,4,"""Amnesty Clause""",503,4,,0.051371545
11212813,2,"""Rose Clause""",228,15,,0.563326961
6780633,5,"""Team Option""",90,24,,0.824928876
2389895,4,"""Player Option""",253,23,,0.515898578
10049595,5,"""No-trade Clause""",488,11,,0.081589724
13577633,3,"""Amnesty Clause""",39,20,,0.928860367
4970341,2,"""Rose Clause""",342,14,,0.350834859
10513808,2,"""Team Option""",364,26,,0.312588793
10731592,5,"""Player Option""",245,5,,0.527286532
18559917,5,"""No-trade Clause""",310,15,,0.392799301
8923561,1,"""Amnesty Clause""",192,1,,0.621711348
3403028,1,"""Rose Clause""",277,4,,0.470277251
11956809,3,"""Team Option""",451,1,,0.139139478
8399549,1,"""Player Option""",128,13,,0.737655855
11632457,5,"""No-trade Clause""",339,27,,0.354614811
7393381,2,"""Amnesty Clause""",53,10,,0.905680289
10269169,1,"""Rose Clause""",223,25,,0.582732085
2725043,4,"""Team Option""",455,15,,0.134581959
7618041,2,"""Player Option""",220,15,,0.58622589
7254022,5,"""No-trade Clause""",102,2,,0.78793973
13212890,4,"""Amnesty Clause""",197,30,,0.613735331
16431904,3,"""Rose Clause""",486,7,,0.084221081
16635373,5,"""Team Option""",516,29,,0.023944485
10500316,3,"""Player Option""",318,27,,0.382674799
7048958,4,"""No-trade Clause""",19,27,,0.970228012
19090857,3,"""Amnesty Clause""",357,24,,0.319799701
12446291,5,"""Rose Clause""",172,20,,0.652307318
6408688,5,"""Team Option""",196,12,,0.616061729
12356314,2,"""Player Option""",170,26,,0.663591273
8160014,1,"""No-trade Clause""",187,13,,0.633738579
16755859,4,"""Amnesty Clause""",46,2,,0.918548337
12392756,2,"""Rose Clause""",116,15,,0.757903458
12928935,5,"""Team Option""",283,29,,0.461154426
7005263,5,"""Player Option""",10,13,,0.986636684
12962906,1,"""No-trade Clause""",125,2,,0.74531575
19236638,1,"""Amnesty Clause""",108,15,,0.778215339
2624228,5,"""Rose Clause""",358,6,,0.31877113
8506421,5,"""Team Option""",483,30,,0.093162446
13274870,3,"""Player Option""",376,22,,0.296323907
4278006,2,"""No-trade Clause""",336,28,,0.356555195
5819673,5,"""Amnesty Clause""",372,30,,0.30227837
4789416,3,"""Rose Clause""",124,4,,0.748087914
7418057,5,"""Team Option""",100,7,,0.793820664
18259288,2,"""Player Option""",82,6,,0.848946469
18857276,5,"""No-trade Clause""",8,20,,0.992704831
15794434,2,"""Amnesty Clause""",314,23,,0.390097613
18178778,2,"""Rose Clause""",497,22,,0.067912521
13910965,4,"""Team Option""",442,21,,0.157841074
18115160,4,"""Player Option""",327,22,,0.373689022
2563935,4,"""No-trade Clause""",464,7,,0.120027554
4773742,4,"""Amnesty Clause""",180,9,,0.637867082
7048838,4,"""Rose Clause""",406,19,,0.233914502
9829934,1,"""Team Option""",127,4,,0.739148907
5680561,1,"""Player Option""",65,12,,0.879956057
10415037,1,"""No-trade Clause""",490,2,,0.079119734
8030234,2,"""Amnesty Clause""",510,25,,0.037377423
3380406,1,"""Rose Clause""",23,29,,0.964779742
5326338,2,"""Team Option""",230,2,,0.562520469
8699348,1,"""Player Option""",241,3,,0.533905306
11290977,4,"""No-trade Clause""",282,4,,0.46199279
6274096,2,"""Amnesty Clause""",294,5,,0.430958393
18512689,5,"""Rose Clause""",63,17,,0.885222519
19812652,2,"""Team Option""",369,28,,0.305496523
7078345,3,"""Player Option""",5,11,,0.995774239
13316378,2,"""No-trade Clause""",214,28,,0.592842795
3916828,3,"""Amnesty Clause""",85,16,,0.841040932
8562349,5,"""Rose Clause""",200,26,,0.609594109
12668982,2,"""Team Option""",189,13,,0.628509544
19658274,4,"""Player Option""",3,2,,0.996150617
15501793,5,"""No-trade Clause""",320,20,,0.381131549
18590524,2,"""Amnesty Clause""",304,26,,0.413842075
14877613,5,"""Rose Clause""",367,26,,0.306895219
4383649,1,"""Team Option""",500,19,,0.058503261
13837420,4,"""Player Option""",146,16,,0.702279152
10280937,1,"""No-trade Clause""",88,19,,0.827497043
15775536,3,"""Amnesty Clause""",492,7,,0.073287394
6356793,3,"""Rose Clause""",425,7,,0.19567685
11133772,1,"""Team Option""",143,12,,0.708509216
2210567,1,"""Player Option""",83,9,,0.844346613
