minutes,starter,plays,isPlayedBy
20,1,1139,188
40,1,1140,46
21,0,1141,201
25,0,1142,521
40,0,1143,318
5,0,1144,1
30,1,1145,105
34,0,1146,60
21,0,1147,149
27,1,1148,479
48,1,1149,282
12,1,1150,35
27,1,1151,110
42,0,1152,211
20,0,1153,69
16,0,1154,320
42,0,1155,518
16,1,1156,159
21,0,1157,229
5,1,1158,518
37,1,1159,242
47,1,1160,78
44,1,1161,66
29,0,1162,255
39,1,1163,463
0,1,1164,523
42,0,1165,507
9,1,1166,444
29,1,1167,376
28,0,1168,170
13,0,1169,301
35,1,1170,441
44,1,1171,352
36,0,1172,182
18,0,1173,117
25,0,1174,86
43,1,1175,330
40,0,1176,195
21,0,1177,65
3,0,1178,2
16,1,1179,138
41,0,1180,526
32,0,1181,477
2,1,1182,13
5,1,1183,83
14,0,1184,362
10,1,1185,329
33,0,1186,130
30,0,1187,83
8,0,1188,15
27,0,1189,104
19,0,1190,419
44,1,1191,164
34,0,1192,96
23,0,1193,404
2,0,1194,106
39,1,1195,25
16,0,1196,407
30,1,1197,43
31,0,1198,100
28,1,1199,82
22,0,1200,312
17,1,1201,67
17,0,1202,364
4,1,1203,142
47,0,1204,410
39,0,1205,487
15,0,1206,516
30,0,1207,73
6,0,1208,203
36,1,1209,231
36,0,1210,421
33,0,1211,392
45,1,1212,241
20,0,1213,250
22,0,1214,446
23,0,1215,279
2,0,1216,415
14,1,1217,98
37,0,1218,347
4,1,1219,516
39,1,1220,329
2,0,1221,128
21,0,1222,136
16,1,1223,135
24,1,1224,125
12,0,1225,478
45,1,1226,234
12,0,1227,373
45,1,1228,445
4,1,1229,200
38,1,1230,363
12,1,1231,414
41,1,1232,43
30,0,1233,320
40,0,1234,105
26,1,1235,47
7,0,1236,101
25,1,1237,425
20,0,1238,94
0,1,1239,330
1,1,1240,151
5,1,1241,118
2,0,1242,34
29,0,1243,237
46,1,1244,488
34,1,1245,150
17,0,1246,348
39,0,1247,349
21,1,1248,45
0,1,1249,195
12,1,1250,126
34,0,1251,57
22,0,1252,59
44,1,1253,57
3,1,1254,431
10,0,1255,505
6,0,1256,474
33,0,1257,235
26,1,1258,441
26,0,1259,100
15,1,1260,440
4,0,1261,28
6,1,1262,349
43,0,1263,218
42,1,1264,185
15,0,1265,134
26,0,1266,68
11,0,1267,308
24,1,1268,368
35,1,1269,139
40,0,1270,205
23,1,1271,137
33,0,1272,8
27,1,1273,196
26,1,1274,35
23,0,1275,376
7,1,1276,483
30,1,1277,305
34,1,1278,257
4,1,1279,221
29,0,1280,285
30,0,1281,61
37,1,1282,294
15,1,1283,240
4,0,1284,38
33,0,1285,316
10,0,1286,410
41,1,1287,320
30,0,1288,476
3,1,1289,420
37,0,1290,469
38,0,1291,33
43,0,1292,507
10,0,1293,421
27,0,1294,486
21,1,1295,275
0,0,1296,334
26,0,1297,337
41,0,1298,283
5,0,1299,404
28,1,1300,492
6,1,1301,364
3,0,1302,247
4,1,1303,162
6,1,1304,200
48,0,1305,22
1,0,1306,89
43,1,1307,256
33,1,1308,80
0,0,1309,399
2,0,1310,47
21,0,1311,238
29,0,1312,235
37,1,1313,170
48,0,1314,141
20,1,1315,142
29,1,1316,385
3,1,1317,141
13,1,1318,31
15,1,1319,144
44,0,1320,24
0,1,1321,139
47,1,1322,402
15,0,1323,401
24,1,1324,269
20,1,1325,106
44,1,1326,256
5,1,1327,318
3,1,1328,480
8,0,1329,223
40,0,1330,432
7,0,1331,11
5,0,1332,487
30,1,1333,23
3,1,1334,397
35,1,1335,214
5,1,1336,187
46,0,1337,132
46,1,1338,452
32,0,1339,422
43,0,1340,229
1,1,1341,247
31,0,1342,93
29,1,1343,114
23,0,1344,15
0,0,1345,224
44,0,1346,213
20,0,1347,44
9,1,1348,185
20,0,1349,114
29,0,1350,17
0,0,1351,258
25,0,1352,97
34,1,1353,374
13,1,1354,115
14,0,1355,408
27,0,1356,43
40,0,1357,379
47,1,1358,77
39,0,1359,104
45,1,1360,440
24,1,1361,410
0,0,1362,497
12,1,1363,402
39,0,1364,33
27,1,1365,471
38,0,1366,11
47,1,1367,139
5,1,1368,482
15,0,1369,446
38,0,1370,427
22,1,1371,68
38,0,1372,500
45,0,1373,415
29,1,1374,521
3,1,1375,3
46,0,1376,82
1,1,1377,153
18,0,1378,18
20,0,1379,276
29,0,1380,199
6,1,1381,475
27,0,1382,357
8,0,1383,476
24,1,1384,269
29,1,1385,278
10,1,1386,97
47,0,1387,93
32,0,1388,7
16,1,1389,223
11,1,1390,272
39,1,1391,327
38,1,1392,338
29,0,1393,409
38,0,1394,414
24,1,1395,47
36,0,1396,478
9,1,1397,136
42,0,1398,159
19,1,1399,227
26,1,1400,101
1,1,1401,454
7,1,1402,408
36,1,1403,273
44,0,1404,304
22,1,1405,95
29,0,1406,266
10,1,1407,211
45,1,1408,58
38,0,1409,107
8,0,1410,8
45,0,1411,360
12,0,1412,22
28,0,1413,104
0,1,1414,426
17,0,1415,516
5,0,1416,164
16,0,1417,383
37,0,1418,199
25,1,1419,391
5,0,1420,254
37,1,1421,217
22,0,1422,240
35,0,1423,504
18,0,1424,247
43,1,1425,231
29,0,1426,9
40,1,1427,262
1,1,1428,431
13,0,1429,371
43,1,1430,41
27,0,1431,364
15,0,1432,185
48,0,1433,307
25,0,1434,82
37,0,1435,458
9,1,1436,188
10,1,1437,14
26,0,1438,186
19,0,1439,286
25,0,1440,156
39,0,1441,497
8,1,1442,487
42,0,1443,5
20,1,1444,91
29,0,1445,394
22,0,1446,361
43,0,1447,88
43,1,1448,189
32,0,1449,47
35,0,1450,180
27,0,1451,74
39,0,1452,104
7,0,1453,6
7,0,1454,174
36,0,1455,172
4,1,1456,33
36,0,1457,310
14,1,1458,170
22,0,1459,493
41,1,1460,416
14,0,1461,454
9,0,1462,271
8,0,1463,141
27,1,1464,68
26,0,1465,109
8,0,1466,181
16,0,1467,18
4,1,1468,371
12,0,1469,347
44,1,1470,69
36,1,1471,411
37,1,1472,116
19,1,1473,182
26,0,1474,495
25,1,1475,36
31,1,1476,382
10,0,1477,509
47,0,1478,69
2,0,1479,97
8,1,1480,519
25,0,1481,146
34,0,1482,396
43,0,1483,229
32,0,1484,369
4,0,1485,97
33,0,1486,106
32,1,1487,28
10,1,1488,195
15,0,1489,175
35,1,1490,110
7,0,1491,368
33,1,1492,217
32,1,1493,197
47,0,1494,490
35,1,1495,202
20,0,1496,307
22,1,1497,60
34,0,1498,423
46,0,1499,57
0,1,1500,392
6,1,1501,118
1,0,1502,179
27,0,1503,492
19,0,1504,94
38,1,1505,239
1,0,1506,218
21,1,1507,290
26,0,1508,246
30,0,1509,336
13,1,1510,378
46,1,1511,69
16,0,1512,427
30,0,1513,234
5,1,1514,217
0,0,1515,235
5,0,1516,11
47,1,1517,421
34,0,1518,300
25,1,1519,10
27,1,1520,222
29,0,1521,354
10,1,1522,49
34,1,1523,409
46,1,1524,323
42,0,1525,455
5,0,1526,133
5,1,1527,64
14,0,1528,134
18,0,1529,511
37,0,1530,113
31,0,1531,237
5,0,1532,204
46,1,1533,209
19,1,1534,254
10,0,1535,146
46,0,1536,466
23,1,1537,400
37,0,1538,19
9,0,1539,326
46,1,1540,22
10,0,1541,357
9,0,1542,277
26,1,1543,100
4,1,1544,369
26,0,1545,301
48,1,1546,475
40,0,1547,385
37,1,1548,473
1,1,1549,179
30,0,1550,521
21,1,1551,416
30,0,1552,64
15,1,1553,74
37,0,1554,337
5,0,1555,435
10,1,1556,417
0,1,1557,341
18,1,1558,17
0,1,1559,348
7,1,1560,25
18,0,1561,492
43,0,1562,218
19,0,1563,327
21,1,1564,317
20,0,1565,283
41,0,1566,147
29,0,1567,402
24,1,1568,37
6,0,1569,495
5,0,1570,59
30,0,1571,444
44,1,1572,286
34,0,1573,438
9,0,1574,45
20,1,1575,63
15,1,1576,17
44,0,1577,471
26,0,1578,419
16,0,1579,2
10,0,1580,81
18,0,1581,127
43,0,1582,365
14,0,1583,491
6,1,1584,417
40,1,1585,37
16,0,1586,48
26,1,1587,157
46,1,1588,382
2,0,1589,9
10,1,1590,399
39,0,1591,490
29,0,1592,224
26,1,1593,379
34,0,1594,297
40,1,1595,298
26,0,1596,342
30,0,1597,260
1,0,1598,21
25,1,1599,433
15,1,1600,526
12,0,1601,267
28,0,1602,412
6,1,1603,9
4,1,1604,20
23,0,1605,469
28,1,1606,434
9,0,1607,312
21,0,1608,317
10,1,1609,61
39,1,1610,305
7,0,1611,307
29,0,1612,75
5,1,1613,520
48,1,1614,430
1,1,1615,462
33,0,1616,54
41,1,1617,351
20,0,1618,101
16,1,1619,330
28,0,1620,9
18,0,1621,211
31,1,1622,483
26,0,1623,12
21,0,1624,120
36,0,1625,255
31,1,1626,188
24,0,1627,303
45,1,1628,174
38,0,1629,82
8,0,1630,93
15,1,1631,230
20,1,1632,143
1,1,1633,277
33,1,1634,14
6,1,1635,277
45,0,1636,130
17,0,1637,350
14,1,1638,141
30,0,1639,10
7,0,1640,89
31,0,1641,98
4,0,1642,239
38,1,1643,372
31,0,1644,171
44,1,1645,116
20,0,1646,502
4,1,1647,271
12,1,1648,468
15,1,1649,494
28,0,1650,6
7,1,1651,484
29,0,1652,407
46,1,1653,243
16,0,1654,472
42,0,1655,202
5,0,1656,277
25,1,1657,428
5,0,1658,472
26,1,1659,67
18,1,1660,438
29,0,1661,267
9,1,1662,279
